CODE_N,COMMUNE,BVQ_N,POPSDC99,LOG,LOGVAC,stratlog
31579,VILLARIES,31358,592.00,212.00,6.00,2
31049,BAZUS,31358,532.00,197.00,3.00,2
31388,MONTPITOL,31358,332.00,134.00,8.00,2
31459,ROQUESERIERE,31358,615.00,248.00,13.00,2
31489,SAINT-JEAN-L,31358,303.00,108.00,1.00,2
31094,BUZET-SUR-TA,31358,1410.00,711.00,56.00,3
31212,GARIDECH,31358,954.00,353.00,9.00,3
31383,MONTJOIRE,31358,1018.00,408.00,9.00,3
31407,PAULHAC,31358,916.00,321.00,12.00,3
31228,GRAGNAGUE,31358,1437.00,482.00,4.00,3
31066,BESSIERES,31358,2222.00,1025.00,100.00,4
31358,MONTASTRUC-L,31358,2495.00,1003.00,41.00,4
31226,GOUZENS,31375,61.00,41.00,4.00,1
31267,LAHITERE,31375,38.00,36.00,2.00,1
31272,LAPEYRERE,31375,61.00,26.00,0.00,1
31279,LATOUR,31375,103.00,37.00,3.00,1
31047,BAX,31375,81.00,36.00,1.00,1
31225,GOUTEVERNISS,31375,77.00,45.00,8.00,1
31365,MONTBRUN-BOC,31375,373.00,262.00,29.00,2
31375,MONTESQUIEU-,31375,2314.00,1361.00,176.00,4
31058,BELBEZE-DE-L,31381,101.00,37.00,2.00,1
31437,POUZE,31381,89.00,37.00,5.00,1
31162,DONNEVILLE,31381,781.00,276.00,6.00,2
31366,MONTBRUN-LAU,31381,485.00,167.00,5.00,2
31381,MONTGISCARD,31381,1947.00,739.00,19.00,3
31542,SEILHAN,31390,187.00,99.00,7.00,1
31564,VALCABRERE,31390,139.00,81.00,6.00,1
31158,CUGURON,31390,176.00,80.00,3.00,1
31539,SEDEILHAC,31390,69.00,36.00,2.00,1
31238,HUOS,31390,450.00,223.00,26.00,2
31255,LABROQUERE,31390,269.00,193.00,24.00,2
31472,SAINT-BERTRA,31390,237.00,165.00,16.00,2
31031,AUSSON,31390,541.00,253.00,12.00,2
31076,BORDES-DE-RI,31390,359.00,171.00,13.00,2
31147,CLARAC,31390,508.00,191.00,7.00,2
31197,FRANQUEVIELL,31390,333.00,163.00,18.00,2
31430,PONLAT-TAILL,31390,457.00,203.00,10.00,2
31556,LES TOURREIL,31390,358.00,148.00,9.00,2
31224,GOURDAN-POLI,31390,1194.00,672.00,65.00,3
31390,MONTREJEAU,31390,2577.00,1486.00,271.00,4
31025,AUREVILLE,31395,540.00,198.00,4.00,2
31227,GOYRANS,31395,809.00,283.00,6.00,2
31486,SAINT-HILAIR,31395,708.00,257.00,7.00,2
31580,VILLATE,31395,588.00,216.00,8.00,2
31259,LACROIX-FALG,31395,1485.00,613.00,26.00,3
31181,LE FAUGA,31395,1099.00,448.00,31.00,3
31253,LABASTIDETTE,31395,1328.00,475.00,10.00,3
31263,LAGARDELLE-S,31395,2181.00,781.00,19.00,3
31287,LAVERNOSE-LA,31395,1943.00,742.00,45.00,3
31299,LHERM,31395,2558.00,925.00,38.00,3
31475,SAINT-CLAR-D,31395,872.00,352.00,16.00,3
31533,SAUBENS,31395,1299.00,512.00,21.00,3
31269,LAMASQUERE,31395,873.00,309.00,9.00,3
31165,EAUNES,31395,3389.00,1244.00,28.00,4
31203,FROUZINS,31395,5936.00,2091.00,55.00,4
31248,LABARTHE-SUR,31395,4632.00,1562.00,40.00,4
31420,PINSAGUEL,31395,2466.00,1008.00,41.00,4
31421,PINS-JUSTARE,31395,3915.00,1401.00,88.00,4
31458,ROQUES,31395,2988.00,1076.00,24.00,4
31460,ROQUETTES,31395,3285.00,1170.00,22.00,4
31547,SEYSSES,31395,5753.00,2184.00,94.00,4
31588,VILLENEUVE-T,31395,8252.00,3189.00,68.00,4
31433,PORTET-SUR-G,31395,8733.00,3473.00,149.00,4
31097,LE CABANIAL,31451,246.00,94.00,2.00,1
31060,BELESTA-EN-L,31451,84.00,49.00,4.00,1
31180,FALGA,31451,79.00,36.00,1.00,1
31400,NOGARET,31451,78.00,35.00,0.00,1
31463,ROUMENS,31451,202.00,76.00,7.00,1
31371,MONTEGUT-LAU,31451,360.00,129.00,1.00,2
31491,SAINT-JULIA,31451,333.00,196.00,29.00,2
31569,VAUDREUILLE,31451,261.00,112.00,3.00,2
31570,VAUX,31451,223.00,103.00,4.00,2
31478,SAINT-FELIX-,31451,1301.00,586.00,59.00,3
31451,REVEL,31451,7985.00,3894.00,226.00,4
31051,BEAUFORT,31454,247.00,89.00,0.00,1
31189,FORGUES,31454,152.00,72.00,5.00,1
31266,LAHAGE,31454,262.00,54.00,3.00,1
31353,MONES,31454,50.00,21.00,0.00,1
31359,MONTASTRUC-S,31454,76.00,27.00,1.00,1
31382,MONTGRAS,31454,46.00,29.00,6.00,1
31419,LE PIN-MUREL,31454,151.00,73.00,4.00,1
31464,SABONNERES,31454,218.00,98.00,1.00,1
31520,SAJAS,31454,82.00,48.00,4.00,1
31538,SAVERES,31454,156.00,84.00,16.00,1
31250,LABASTIDE-CL,31454,416.00,184.00,8.00,2
31283,LAUTIGNAC,31454,218.00,105.00,5.00,2
31423,PLAGNOLE,31454,271.00,100.00,7.00,2
31435,POUCHARRAMET,31454,680.00,288.00,9.00,2
31065,BERAT,31454,1407.00,558.00,41.00,3
31454,RIEUMES,31454,2601.00,1225.00,117.00,4
31015,ARGUT-DESSOU,31471,33.00,67.00,3.00,1
31067,BEZINS-GARRA,31471,39.00,64.00,0.00,1
31298,LEZ,31471,67.00,77.00,15.00,1
31017,ARLOS,31471,88.00,117.00,14.00,2
31177,EUP,31471,146.00,120.00,9.00,2
31337,MELLES,31471,104.00,195.00,13.00,2
31085,BOUTX,31471,259.00,617.00,27.00,3
31190,FOS,31471,272.00,401.00,56.00,3
31316,MARIGNAC,31471,505.00,354.00,10.00,3
31471,SAINT-BEAT,31471,364.00,453.00,55.00,3
31012,ARBON,31483,76.00,79.00,7.00,1
31095,CABANAC-CAZA,31483,108.00,65.00,4.00,1
31009,ANTICHAN-DE-,31483,84.00,77.00,3.00,1
31200,FRONTIGNAN-D,31483,73.00,57.00,1.00,1
31217,GENOS,31483,75.00,59.00,7.00,1
31308,LUSCAN,31483,54.00,38.00,1.00,1
31313,MALVEZIE,31483,112.00,97.00,9.00,1
31369,MONT-DE-GALI,31483,36.00,29.00,1.00,1
31405,ORE,31483,109.00,99.00,1.00,1
31408,PAYSSOUS,31483,80.00,59.00,2.00,1
31493,SAINT-LARY-B,31483,116.00,55.00,5.00,1
31305,LOUDET,31483,218.00,89.00,7.00,1
31021,ASPRET-SARRA,31483,97.00,50.00,5.00,1
31268,LALOURET-LAF,31483,108.00,55.00,4.00,1
31274,LARCAN,31483,156.00,80.00,5.00,1
31294,LESPITEAU,31483,68.00,43.00,6.00,1
31449,REGADES,31483,112.00,78.00,13.00,1
31452,RIEUCAZE,31483,37.00,32.00,4.00,1
31487,SAINT-IGNAN,31483,250.00,86.00,1.00,1
31536,SAUX-ET-POMA,31483,251.00,88.00,1.00,1
31537,SAVARTHES,31483,122.00,52.00,3.00,1
31034,AUZAS,31483,132.00,77.00,10.00,1
31260,LAFFITE-TOUP,31483,70.00,42.00,5.00,1
31440,PROUPIARY,31483,56.00,31.00,6.00,1
31504,SAINT-MEDARD,31483,235.00,98.00,2.00,1
31545,SEPX,31483,153.00,90.00,8.00,1
31155,COURET,31483,195.00,100.00,5.00,2
31208,GANTIES,31483,244.00,157.00,16.00,2
31241,IZAUT-DE-L'H,31483,306.00,157.00,9.00,2
31550,SOUEICH,31483,501.00,299.00,17.00,2
31023,AULON,31483,347.00,207.00,15.00,2
31278,LATOUE,31483,284.00,134.00,11.00,2
31013,ARDIEGE,31483,325.00,156.00,8.00,2
31045,BARBAZAN,31483,378.00,245.00,20.00,2
31143,CIER-DE-RIVI,31483,250.00,152.00,9.00,2
31306,LOURDE,31483,88.00,104.00,1.00,2
31323,MARTRES-DE-R,31483,307.00,136.00,8.00,2
31509,SAINT-PE-D'A,31483,114.00,146.00,8.00,2
31108,CARDEILHAC,31483,230.00,121.00,21.00,2
31276,LARROQUE,31483,335.00,159.00,9.00,2
31159,LE CUING,31483,351.00,156.00,11.00,2
31513,SAINT-PLANCA,31483,372.00,213.00,14.00,2
31139,CHAUM,31483,193.00,148.00,7.00,2
31176,ESTENOS,31483,167.00,132.00,6.00,2
31199,FRONSAC,31483,216.00,167.00,10.00,2
31175,ESTANCARBON,31483,530.00,230.00,11.00,2
31302,LODES,31483,255.00,102.00,2.00,2
31502,SAINT-MARCET,31483,393.00,167.00,8.00,2
31050,BEAUCHALOT,31483,390.00,177.00,17.00,2
31124,CASTILLON-DE,31483,259.00,125.00,11.00,2
31296,LESTELLE-DE-,31483,378.00,194.00,9.00,2
31314,MANCIOUX,31483,344.00,193.00,40.00,2
31372,MONTESPAN,31483,422.00,222.00,21.00,2
31167,ENCAUSSE-LES,31483,591.00,330.00,15.00,3
31426,POINTIS-DE-R,31483,792.00,304.00,21.00,3
31535,SAUVETERRE-D,31483,720.00,434.00,42.00,3
31246,LABARTHE-INA,31483,781.00,327.00,13.00,3
31247,LABARTHE-RIV,31483,1152.00,597.00,52.00,3
31270,LANDORTHE,31483,779.00,316.00,8.00,3
31344,MIRAMONT-DE-,31483,784.00,431.00,54.00,3
31427,POINTIS-INAR,31483,740.00,368.00,12.00,3
31565,VALENTINE,31483,894.00,459.00,53.00,3
31585,VILLENEUVE-D,31483,1360.00,614.00,26.00,3
31166,EMPEAUX,31499,163.00,83.00,0.00,1
31075,BONREPOS-SUR,31499,579.00,220.00,9.00,2
31087,BRAGAYRAC,31499,249.00,107.00,10.00,2
31101,CAMBERNARD,31499,340.00,137.00,4.00,2
31466,SAIGUEDE,31499,524.00,212.00,12.00,2
31518,SAINT-THOMAS,31499,472.00,201.00,18.00,2
31481,SAINTE-FOY-D,31499,1436.00,560.00,35.00,3
31526,LA SALVETAT-,31499,5779.00,1920.00,32.00,4
31187,FONSORBES,31499,6909.00,2390.00,83.00,4
31188,FONTENILLES,31499,2920.00,1049.00,43.00,4
31499,SAINT-LYS,31499,5455.00,1978.00,99.00,4
31236,HERRAN,31523,81.00,74.00,9.00,1
31018,ARNAUD-GUILH,31523,167.00,91.00,10.00,1
31030,AUSSEING,31523,61.00,32.00,5.00,1
31059,BELBEZE-EN-C,31523,116.00,73.00,12.00,1
31112,CASTAGNEDE,31523,185.00,95.00,12.00,1
31321,MARSOULAS,31523,137.00,70.00,6.00,1
31376,MONTGAILLARD,31523,105.00,69.00,10.00,1
31562,URAU,31523,136.00,85.00,6.00,1
31591,ESCOULIS,31523,77.00,56.00,14.00,1
31011,ARBAS,31523,186.00,230.00,7.00,2
31191,FOUGARON,31523,73.00,107.00,6.00,2
31114,CASTELBIAGUE,31523,209.00,109.00,5.00,2
31183,FIGAROL,31523,236.00,129.00,13.00,2
31237,HIS,31523,178.00,102.00,5.00,2
31357,MONTASTRUC-D,31523,292.00,180.00,14.00,2
31391,MONTSAUNES,31523,379.00,180.00,10.00,2
31461,ROUEDE,31523,236.00,144.00,20.00,2
31521,SALEICH,31523,361.00,197.00,27.00,2
31554,TOUILLE,31523,204.00,137.00,11.00,2
31503,SAINT-MARTOR,31523,873.00,440.00,55.00,3
31110,CASSAGNE,31523,621.00,331.00,35.00,3
31315,MANE,31523,1026.00,570.00,38.00,3
31336,MAZERES-SUR-,31523,584.00,323.00,27.00,3
31457,ROQUEFORT-SU,31523,715.00,405.00,46.00,3
31523,SALIES-DU-SA,31523,1943.00,1164.00,99.00,4
31575,VIEILLE-TOUL,31555,894.00,341.00,18.00,3
31293,LESPINASSE,31555,1864.00,659.00,10.00,3
31516,SAINT-SAUVEU,31555,1309.00,511.00,14.00,3
31186,FONBEAUZARD,31555,2603.00,968.00,53.00,3
31205,GAGNAC-SUR-G,31555,1635.00,614.00,16.00,3
31364,MONTBERON,31555,2342.00,789.00,24.00,3
31091,BRUGUIERES,31555,3862.00,1395.00,32.00,4
31230,GRATENTOUR,31555,3035.00,1010.00,26.00,4
31490,SAINT-JORY,31555,4069.00,1490.00,67.00,4
31022,AUCAMVILLE,31555,5533.00,2278.00,77.00,4
31116,CASTELGINEST,31555,7735.00,2874.00,93.00,4
31182,FENOUILLET,31555,4028.00,1569.00,70.00,4
31467,SAINT-ALBAN,31555,5186.00,1840.00,59.00,4
31410,PECHBONNIEU,31555,2997.00,1051.00,25.00,4
31273,LAPEYROUSE-F,31561,2056.00,725.00,22.00,3
31053,BEAUPUY,31561,1095.00,372.00,6.00,3
31462,ROUFFIAC-TOL,31561,1404.00,496.00,29.00,3
31484,SAINT-GENIES,31561,1781.00,667.00,19.00,3
31497,SAINT-LOUP-C,31561,1742.00,595.00,28.00,3
31389,MONTRABE,31561,3201.00,1105.00,23.00,4
31282,LAUNAGUET,31561,5086.00,1855.00,74.00,4
31117,CASTELMAUROU,31561,3261.00,1143.00,50.00,4
31488,SAINT-JEAN,31561,8362.00,3288.00,69.00,4
31074,BONREPOS-RIQ,31573,247.00,83.00,0.00,1
31511,SAINT-PIERRE,31573,209.00,84.00,9.00,1
31215,GAURE,31573,495.00,188.00,7.00,2
31285,LAVALETTE,31573,602.00,227.00,13.00,2
31501,SAINT-MARCEL,31573,401.00,155.00,7.00,2
31573,VERFEIL,31573,2504.00,1028.00,43.00,4
31401,NOUEILLES,31582,234.00,93.00,8.00,1
31568,VARENNES,31582,198.00,76.00,4.00,1
31099,CAIGNAC,31582,188.00,90.00,2.00,1
31354,MONESTROL,31582,55.00,21.00,0.00,1
31546,SEYRE,31582,76.00,33.00,1.00,1
31243,JUZES,31582,84.00,34.00,2.00,1
31329,MAURENS,31582,169.00,72.00,6.00,1
31393,MOURVILLES-H,31582,167.00,65.00,4.00,1
31054,BEAUTEVILLE,31582,104.00,54.00,2.00,1
31137,CESSALES,31582,130.00,53.00,5.00,1
31185,FOLCARDE,31582,86.00,37.00,3.00,1
31310,LUX,31582,171.00,67.00,3.00,1
31328,MAUREMONT,31582,223.00,89.00,3.00,1
31368,MONTCLAR-LAU,31582,139.00,51.00,2.00,1
31453,RIEUMAJOU,31582,87.00,42.00,8.00,1
31485,SAINT-GERMIE,31582,86.00,37.00,1.00,1
31514,SAINT-ROME,31582,68.00,29.00,2.00,1
31519,SAINT-VINCEN,31582,99.00,36.00,3.00,1
31576,VIEILLEVIGNE,31582,174.00,88.00,5.00,1
31284,LAUZERVILLE,31582,873.00,276.00,2.00,2
31192,FOURQUEVAUX,31582,716.00,269.00,14.00,2
31249,LABASTIDE-BE,31582,664.00,249.00,9.00,2
31402,ODARS,31582,583.00,211.00,10.00,2
31380,MONTGEARD,31582,323.00,151.00,4.00,2
31262,LAGARDE,31582,239.00,120.00,16.00,2
31377,MONTGAILLARD,31582,547.00,203.00,11.00,2
31450,RENNEVILLE,31582,334.00,141.00,15.00,2
31560,TREBONS-SUR-,31582,322.00,121.00,4.00,2
31566,VALLEGUE,31582,383.00,134.00,1.00,2
31036,AUZIELLE,31582,1558.00,494.00,6.00,3
31004,AYGUESVIVES,31582,1815.00,656.00,15.00,3
31048,BAZIEGE,31582,2196.00,819.00,44.00,3
31384,MONTLAUR,31582,889.00,330.00,11.00,3
31396,NAILLOUX,31582,1237.00,472.00,63.00,3
31495,SAINT-LEON,31582,750.00,305.00,31.00,3
31037,AVIGNONET-LA,31582,1069.00,449.00,27.00,3
31210,GARDOUCH,31582,996.00,419.00,34.00,3
31374,MONTESQUIEU-,31582,846.00,357.00,19.00,3
31589,VILLENOUVELL,31582,940.00,385.00,25.00,3
31582,VILLEFRANCHE,31582,3338.00,1546.00,102.00,4
31073,BONDIGOUX,31584,320.00,142.00,6.00,2
31077,LE BORN,31584,261.00,122.00,12.00,2
31288,LAYRAC-SUR-T,31584,264.00,123.00,8.00,2
31311,LA MAGDELEIN,31584,609.00,221.00,5.00,2
31346,MIREPOIX-SUR,31584,537.00,243.00,14.00,2
31583,VILLEMATIER,31584,861.00,361.00,22.00,3
31584,VILLEMUR-SUR,31584,4929.00,2342.00,120.00,4
